Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Return Awaited,Open Purchase,Enabled,Updated,Virtual Inventory
VENDORSKART MUNDKA 1 FACILITY,HRU Button Remote Key Universal Anti-Theft Alarm System for All Bikes,BCAMLOCK0003,1,SDL043892601,CHINA SEC COMPANY,Multi colour,China,HRU,Vendorskart_Automotive,1999.00,0,161,1,44,0,0,0,0,true,2017-03-28 12:00:17,0
VENDORSKART MUNDKA 1 FACILITY,HRU U2 Chrome colour Universal Projector Fog Light for All Bikes,VKAMLIGHT0001,1,SDL590708177,LED Company China,Chrome,China,HRU,Vendorskart_Automotive,999.00,0,286,0,23,0,0,0,0,true,2017-03-28 12:00:17,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Universal Mobile USB Charger for All Bikes,VKAMUSB0001,1,SDL753491450,Autofy-Porado-India,Black,India,Autofy,Vendorskart_Automotive,599.00,0,25,30,7,0,0,0,0,true,2017-03-28 10:50:17,0
VENDORSKART MUNDKA 1 FACILITY,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,VKAMLOCK0001,1,SDL508696986,Security Company China,Black,China,HRU,Vendorskart_Automotive,1999.00,0,479,37,11,0,0,0,0,true,2017-03-28 12:00:17,0
VENDORSKART MUNDKA 1 FACILITY,TOGGLE SWITCH,VKAMSWITCH_TOGGLE,1,,Autofy-India,Dummy Red,India,Autofy,Vendorskart_Automotive,,0,92,0,0,0,0,0,0,true,2017-03-11 13:10:16,0
VENDORSKART MUNDKA 1 FACILITY,HRU Dual Angel Ring COB LED Universal Projector Fog Light for All Bikes,VKAMLIGHT0005,1,SDL923881803,LED Company China,Blue & Red,China,HRU,Vendorskart_Automotive,1999.00,0,103,0,4,0,0,0,0,true,2017-03-28 03:35:19,0
VENDORSKART MUNDKA 1 FACILITY,Autofy  Bolex Windtone Black Universal Horn for All Bikes (Set of 2),VKAMHORN0001,Set of 2,SDL366150446,Autofy - India,Black,India,Autofy,Vendorskart_Automotive,599.00,200,0,0,54,0,0,0,0,true,2017-03-28 04:17:01,0
VENDORSKART MUNDKA 1 FACILITY,HRU Disc Brake Lock For Two Wheelers,VKAMLOCK0006,1,,,Black,India,Autofy Porado,Vendorskart_Automotive,499.00,0,75,0,1,0,0,0,0,true,2017-03-25 15:20:58,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Long Key Universal Anti-Theft Alarm System for All Bikes,VKAMLOCK0002,1,SDL613787816,Security Company China,Black,China,Autofy,Vendorskart_Automotive,1599.00,0,406,0,10,0,0,0,0,true,2017-03-28 04:17:02,0
VENDORSKART MUNDKA 1 FACILITY,HRU Fog Lamp Bezel Chrome for Maruti Suzuki Swift (Set of 2),VKAMCHROME_SWIFT,Set of 2,SDL718394021,Autofy - India,Chrome,India,HRU,Vendorskart_Automotive,799.00,0,42,23,15,0,0,0,0,true,2017-03-28 12:00:18,0
