PO Code,Created,Type,PO Created By,PO Approved Date,Delivery Date,Item Type Name,Item SkuCode,Category,Vendor Name,Vendor Code,Vendor SkuCode,Order Quantity,Recieved Quantity,Rejected Quantity,Pending Quantity,PO Ageing (Days),% Pending,% Rejection,Facility,Unit Price,Sub Total,VAT,CST,Total,Purchase Order Status,Updated
PO0014,09/01/2017 23:09,Manual,udithurria@vendorskart.com,10/01/2017 10:19,06/01/2017,Autofy Button Remote Key Universal Anti-Theft Alarm System for All Bikes,BCAMLOCK0003,Vendorskart_Automotive,NORTHERN IMPEX,NORTHERN_IMPEX,BCAMLOCK0003,510,510,33,0,88,0,6.4706,VENDORSKART MUNDKA 1 FACILITY,308,157080,19635,0,176715,COMPLETE,23/01/2017 18:11
PO0171,03/02/2017 19:31,Manual,udithurria@vendorskart.com,03/02/2017 19:31,11/02/2017,Autofy Button Remote Key Universal Anti-Theft Alarm System for All Bikes,BCAMLOCK0003,Vendorskart_Automotive,NORTHERN IMPEX,NORTHERN_IMPEX,BCAMLOCK0003,28,28,4,0,63,0,14.2857,VENDORSKART MUNDKA 1 FACILITY,346.5,9702,0,0,9702,COMPLETE,04/02/2017 11:17
PO0364,31/03/2017 14:17,Manual,udithurria@vendorskart.com,31/03/2017 14:18,01/04/2017,Autofy Button Remote Key Universal Anti-Theft Alarm System for All Bikes,BCAMLOCK0003,Vendorskart_Automotive,NORTHERN IMPEX,NORTHERN_IMPEX,BCAMLOCK0003,6,6,4,0,7,0,66.6667,VENDORSKART MUNDKA 1 FACILITY,346.5,2079,0,0,2079,COMPLETE,03/04/2017 18:39
PO0214,14/02/2017 18:24,Manual,udithurria@vendorskart.com,14/02/2017 18:24,18/02/2017,Autofy Side Bag/Pouch Black for Royal Enfield,VKAMBAG0001,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0001,21,21,0,0,52,0,0,VENDORSKART MUNDKA 1 FACILITY,80,1680,0,0,1680,COMPLETE,14/02/2017 20:05
PO0340,21/03/2017 10:41,Manual,udithurria@vendorskart.com,21/03/2017 10:42,23/03/2017,Autofy Side Bag/Pouch Black for Royal Enfield,VKAMBAG0001,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0001,2,0,0,2,17,100,0,VENDORSKART MUNDKA 1 FACILITY,71.11,142.22,17.78,0,160,COMPLETE,21/03/2017 10:43
PO0345,21/03/2017 10:45,Manual,jitendra.singh@vendorskart.com,21/03/2017 10:45,25/03/2017,Autofy Side Bag/Pouch Black for Royal Enfield,VKAMBAG0001,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0001,2,2,0,0,17,0,0,VENDORSKART MUNDKA 1 FACILITY,80,160,0,0,160,COMPLETE,21/03/2017 11:20
PO0368,31/03/2017 19:07,Manual,udithurria@vendorskart.com,31/03/2017 19:08,01/04/2017,Autofy Side Bag/Pouch Black for Royal Enfield,VKAMBAG0001,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0001,30,30,0,0,7,0,0,VENDORSKART MUNDKA 1 FACILITY,80,2400,0,0,2400,COMPLETE,03/04/2017 12:41
PO0021,05/01/2017 17:32,Manual,udithurria@vendorskart.com,05/01/2017 17:32,07/01/2017,Autofy Side Bag Black Red Metal Clip for All Bikes,VKAMBAG0002,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0002,5,5,0,0,92,0,0,VENDORSKART MUNDKA 1 FACILITY,181.37,906.85,0,0,906.85,COMPLETE,09/01/2017 20:12
PO0226,20/02/2017 10:51,Manual,udithurria@vendorskart.com,20/02/2017 10:51,25/02/2017,Autofy Side Bag Black Red Metal Clip for All Bikes,VKAMBAG0002,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0002,9,9,0,0,46,0,0,VENDORSKART MUNDKA 1 FACILITY,181.37,1632.33,0,0,1632.33,COMPLETE,20/02/2017 13:48
PO0021,05/01/2017 17:32,Manual,udithurria@vendorskart.com,05/01/2017 17:32,07/01/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0004,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0004,40,40,0,0,92,0,0,VENDORSKART MUNDKA 1 FACILITY,181.37,7254.8,0,0,7254.8,COMPLETE,09/01/2017 21:00
PO0356,30/03/2017 13:09,Manual,udithurria@vendorskart.com,30/03/2017 13:09,31/03/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0004,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0004,10,0,0,10,8,100,0,VENDORSKART MUNDKA 1 FACILITY,185,1850,0,0,1850,AMENDED,30/03/2017 13:09
PO0361,30/03/2017 15:36,MANUAL,udithurria@vendorskart.com,30/03/2017 15:37,31/03/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0004,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0004,11,11,0,0,8,0,0,VENDORSKART MUNDKA 1 FACILITY,185,2035,0,0,2035,COMPLETE,31/03/2017 10:26
PO0021,05/01/2017 17:32,Manual,udithurria@vendorskart.com,05/01/2017 17:32,07/01/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0008,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0008,10,10,0,0,92,0,0,VENDORSKART MUNDKA 1 FACILITY,181.37,1813.7,0,0,1813.7,COMPLETE,09/01/2017 21:01
PO0154,01/02/2017 13:45,Manual,udithurria@vendorskart.com,01/02/2017 13:45,04/02/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0008,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0008,30,30,0,0,65,0,0,VENDORSKART MUNDKA 1 FACILITY,181.37,5441.1,0,0,5441.1,COMPLETE,01/02/2017 15:04
PO0334,18/03/2017 18:58,Manual,udithurria@vendorskart.com,18/03/2017 18:58,25/03/2017,Autofy Side Bag Black Metal Clip for All Bikes,VKAMBAG0008,Vendorskart_Automotive,Sonex auto induturies pvt ltd,Sonex_auto_induturies,vkambag0008,3,3,0,0,20,0,0,VENDORSKART MUNDKA 1 FACILITY,185,555,0,0,555,COMPLETE,21/03/2017 10:00
PO0038,08/01/2017 20:05,Manual,udithurria@vendorskart.com,08/01/2017 20:06,28/01/2017,Autofy Pro Rider Long Ranger Universal Saddle Bags For All Bikes with Rain Cover (Black  Set of 2),VKAMBAG0012,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0012,2,2,1,0,89,0,50,VENDORSKART MUNDKA 1 FACILITY,2800,5600,0,0,5600,COMPLETE,09/01/2017 20:24
PO0055,10/01/2017 11:12,Manual,udithurria@vendorskart.com,10/01/2017 11:12,14/01/2017,Autofy Pro Rider Long Ranger Universal Saddle Bags For All Bikes with Rain Cover (Black  Set of 2),VKAMBAG0012,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0012,1,1,0,0,87,0,0,VENDORSKART MUNDKA 1 FACILITY,2800,2800,0,0,2800,COMPLETE,10/01/2017 14:48
PO0214,14/02/2017 18:24,Manual,udithurria@vendorskart.com,14/02/2017 18:24,18/02/2017,Autofy Pro Rider Long Ranger Universal Saddle Bags For All Bikes with Rain Cover (Black  Set of 2),VKAMBAG0012,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0012,1,1,0,0,52,0,0,VENDORSKART MUNDKA 1 FACILITY,2800,2800,0,0,2800,COMPLETE,14/02/2017 20:19
PO0292,07/03/2017 18:04,Manual,udithurria@vendorskart.com,07/03/2017 18:04,10/03/2017,Autofy Pro Rider Long Ranger Universal Saddle Bags For All Bikes with Rain Cover (Black  Set of 2),VKAMBAG0012,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0012,5,5,0,0,31,0,0,VENDORSKART MUNDKA 1 FACILITY,2800,14000,0,0,14000,COMPLETE,09/03/2017 10:28
PO0038,08/01/2017 20:05,Manual,udithurria@vendorskart.com,08/01/2017 20:06,28/01/2017,Autofy AXO Universal All Purpose Biker Bag with Water Pouch (Black),VKAMBAG0013,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0013,3,3,0,0,89,0,0,VENDORSKART MUNDKA 1 FACILITY,800,2400,0,0,2400,COMPLETE,09/01/2017 20:11
PO0214,14/02/2017 18:24,Manual,udithurria@vendorskart.com,14/02/2017 18:24,18/02/2017,Autofy AXO Universal All Purpose Biker Bag with Water Pouch (Black),VKAMBAG0013,Vendorskart_Automotive,cash_vk,cash_vk,VKAMBAG0013,2,2,0,0,52,0,0,VENDORSKART MUNDKA 1 FACILITY,900,1800,0,0,1800,COMPLETE,14/02/2017 20:21
PO0300,08/03/2017 19:15,Manual,udithurria@vendorskart.com,08/03/2017 19:15,11/03/2017,Autofy AXO Universal All Purpose Biker Bag with Water Pouch (Black),VKAMBAG0013,Vendorskart_Automotive,JAI MATA DI IMPEX,TALWAR-1,VKAMBAG0013,5,5,0,0,30,0,0,VENDORSKART MUNDKA 1 FACILITY,850,4250,0,0,4250,COMPLETE,09/03/2017 10:42
PO0038,08/01/2017 20:05,Manual,udithurria@vendorskart.com,08/01/2017 20:06,28/01/2017,Autofy Scoyco Universal Expandable Magnetic Tank Bag Convertible Luggage Bagpack for All Bikes (Black),VKAMBAG0014,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0014,3,3,0,0,89,0,0,VENDORSKART MUNDKA 1 FACILITY,1800,5400,0,0,5400,COMPLETE,09/01/2017 19:17
PO0221,20/02/2017 14:03,Manual,udithurria@vendorskart.com,20/02/2017 14:04,25/02/2017,Autofy Scoyco Universal Expandable Magnetic Tank Bag Convertible Luggage Bagpack for All Bikes (Black),VKAMBAG0014,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0014,9,9,0,0,46,0,0,VENDORSKART MUNDKA 1 FACILITY,1800,16200,0,0,16200,COMPLETE,20/02/2017 15:23
PO0221,20/02/2017 14:03,Manual,udithurria@vendorskart.com,20/02/2017 14:04,25/02/2017,Autofy Taichi Waterproof Glowing LED Strip Bag (Black and Neon Green),VKAMBAG0015,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0015,5,5,0,0,46,0,0,VENDORSKART MUNDKA 1 FACILITY,2300,11500,0,0,11500,COMPLETE,20/02/2017 15:28
PO0220,18/02/2017 11:55,Manual,udithurria@vendorskart.com,,25/02/2017,Autofy Pro Biker Expandable Multi Purpose Bag Pack (Black and Yellow),VKAMBAG0016,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0016,2,0,0,2,48,100,0,VENDORSKART MUNDKA 1 FACILITY,1333.34,2666.67,333.33,0,3000,CANCELLED,18/02/2017 11:55
PO0221,20/02/2017 14:03,Manual,udithurria@vendorskart.com,20/02/2017 14:04,25/02/2017,Autofy Pro Biker Expandable Multi Purpose Bag Pack (Black and Yellow),VKAMBAG0016,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0016,2,2,0,0,46,0,0,VENDORSKART MUNDKA 1 FACILITY,1500,3000,0,0,3000,COMPLETE,20/02/2017 15:18
PO0221,20/02/2017 14:03,Manual,udithurria@vendorskart.com,20/02/2017 14:04,25/02/2017,Autofy Army Print Universal Side Bag/Pouch Bag for All bikes (Camouflage),VKAMBAG0017,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0017,6,6,0,0,46,0,0,VENDORSKART MUNDKA 1 FACILITY,80,480,0,0,480,COMPLETE,20/02/2017 15:26
PO0238,22/02/2017 10:43,Manual,udithurria@vendorskart.com,22/02/2017 10:44,25/02/2017,Autofy Army Print Universal Side Bag/Pouch Bag for All bikes (Camouflage),VKAMBAG0017,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0017,20,20,0,0,44,0,0,VENDORSKART MUNDKA 1 FACILITY,80,1600,0,0,1600,COMPLETE,22/02/2017 12:09
PO0268,27/02/2017 10:36,Manual,udithurria@vendorskart.com,27/02/2017 10:36,28/02/2017,Autofy Universal Side Bag/Pouch Bag for All bikes (Black),VKAMBAG0018,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0018,20,0,0,20,39,100,0,VENDORSKART MUNDKA 1 FACILITY,80,1600,0,0,1600,COMPLETE,27/02/2017 10:55
PO0271,27/02/2017 10:57,Manual,udithurria@vendorskart.com,27/02/2017 10:57,28/02/2017,Autofy Universal Side Bag/Pouch Bag for All bikes (Black),VKAMBAG0018,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBAG0018,20,20,0,0,39,0,0,VENDORSKART MUNDKA 1 FACILITY,71.11,1422.22,177.78,0,1600,COMPLETE,27/02/2017 12:46
PO0174,04/02/2017 16:00,Manual,udithurria@vendorskart.com,04/02/2017 16:00,27/02/2017,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),VKAMBRUSH0001,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMBRUSH0001,1000,1000,0,0,62,0,0,VENDORSKART MUNDKA 1 FACILITY,83,83000,0,0,83000,COMPLETE,07/02/2017 10:26
PO0114,17/01/2017 11:54,Manual,udithurria@vendorskart.com,,28/01/2017,HRU Headlight Tail Light Indicator Plate Chrome for Honda Activa (Set of 6),VKAMCHROME_ACTIVA,Vendorskart_Automotive,Surya Autocare,ACTIVA_CHROME,VKAMCHROME_ACTIVA,48,0,0,48,80,100,0,VENDORSKART MUNDKA 1 FACILITY,222.22,10666.67,1333.33,0,12000,REJECTED,17/01/2017 11:54
PO0115,17/01/2017 11:55,MANUAL,udithurria@vendorskart.com,17/01/2017 11:55,,HRU Headlight Tail Light Indicator Plate Chrome for Honda Activa (Set of 6),VKAMCHROME_ACTIVA,Vendorskart_Automotive,Surya Autocare,ACTIVA_CHROME,VKAMCHROME_ACTIVA,48,48,1,0,80,0,2.0833,VENDORSKART MUNDKA 1 FACILITY,250,12000,0,0,12000,COMPLETE,17/01/2017 16:28
PO0008,04/01/2017 15:51,CART,udithurria@vendorskart.com,,,HRU Fog Lamp Bezel Chrome for Maruti Suzuki Swift (Set of 2),VKAMCHROME_SWIFT,Vendorskart_Automotive,castle enterprise,castle_enterprise,VKAMCHROME_SWIFT,100,0,0,100,93,100,0,VENDORSKART MUNDKA 1 FACILITY,133.33,13333.33,1666.67,0,15000,REJECTED,04/01/2017 15:51
